                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.5451,                0.80171,                 1.2645,                0.90622,                0.87933,                0.90948,                0.44744,                 1.7499,                 0.7522,                 1.3075,               0.006535,               0.006535,               0.006535
                     37,                 1.5465,                0.79872,                 1.2662,                0.90678,                 0.8793,                0.90933,                 0.4475,                 1.7503,                0.75074,                 1.3087,               0.006436,               0.006436,               0.006436
                     38,                 1.5401,                0.79352,                 1.2657,                0.90602,                0.88071,                0.90939,                0.44752,                 1.7504,                0.74989,                 1.3097,               0.006337,               0.006337,               0.006337
                     39,                 1.5433,                0.78838,                 1.2694,                0.90569,                0.88135,                0.90988,                0.44765,                 1.7507,                0.74851,                 1.3109,               0.006238,               0.006238,               0.006238
                     40,                 1.5409,                0.78504,                 1.2694,                0.90553,                0.88182,                0.91001,                0.44816,                 1.7506,                0.74757,                  1.312,               0.006139,               0.006139,               0.006139
                     41,                 1.5382,                0.78668,                 1.2663,                0.90607,                0.88223,                0.91038,                0.44833,                 1.7506,                0.74656,                 1.3129,                0.00604,                0.00604,                0.00604
                     42,                 1.5375,                0.78208,                 1.2727,                0.90658,                0.88274,                0.91027,                0.44859,                 1.7509,                0.74523,                 1.3142,               0.005941,               0.005941,               0.005941
                     43,                  1.538,                0.77761,                 1.2682,                0.90659,                0.88303,                0.91064,                0.44861,                 1.7509,                0.74382,                 1.3151,               0.005842,               0.005842,               0.005842
                     44,                 1.5328,                0.77447,                 1.2694,                 0.9061,                0.88343,                 0.9106,                0.44855,                  1.751,                0.74237,                 1.3162,               0.005743,               0.005743,               0.005743
                     45,                 1.5337,                0.77623,                 1.2726,                  0.906,                0.88404,                0.91083,                0.44877,                 1.7511,                0.74121,                 1.3174,               0.005644,               0.005644,               0.005644
                     46,                 1.5319,                0.76855,                 1.2724,                0.90606,                0.88395,                0.91082,                0.44908,                 1.7515,                 0.7401,                 1.3188,               0.005545,               0.005545,               0.005545
                     47,                 1.5281,                0.76184,                 1.2687,                0.90658,                0.88485,                0.91089,                0.44898,                 1.7523,                0.73882,                 1.3202,               0.005446,               0.005446,               0.005446
                     48,                 1.5271,                 0.7647,                 1.2715,                0.90615,                0.88577,                0.91126,                0.44906,                  1.753,                0.73755,                 1.3218,               0.005347,               0.005347,               0.005347
                     49,                 1.5247,                0.76031,                 1.2703,                0.90577,                0.88565,                0.91123,                0.44904,                 1.7538,                0.73605,                 1.3233,               0.005248,               0.005248,               0.005248
                     50,                 1.5224,                0.75639,                 1.2656,                0.90629,                0.88639,                0.91178,                0.44918,                 1.7544,                 0.7347,                 1.3245,               0.005149,               0.005149,               0.005149
